classid,classname,classstarttime,classendtime,classteacher,classlocation,classcost,classtotalstudent,classadddate,classavailable,classtag
198,K-FIT | (G)I-DLE,11:00,12:00,C,Studio 2,10,30,1/13/2024,yes,class08
199,K-FIT | IVE,12:00,13:00,C,Studio 2,10,30,1/17/2024,yes,class08
200,K-FIT | IVE,18:15,19:15,C,Studio 2,10,30,1/17/2024,yes,class08
201,K-FIT | IVE,11:00,12:00,C,Studio 2,10,30,1/20/2024,yes,class08
205,K-FIT | ROOKIE GIRL GROUP PLAYLIST,11:00,12:00,C,Studio 2,10,30,1/6/2024,yes,class08
206,NCT DREAM | POISON,13:00,15:00,B,Studio 2,16,30,1/6/2024,yes,class03
207,LE SSERAFIM | UNFORGIVEN,15:30,17:30,C,Studio 2,16,30,1/13/2024,yes,class03
208,aespa | DRAMA,13:00,14:30,C,Studio 1,12,30,1/6/2024,yes,class02
209,ENHYPEN | STILL MONSTER,15:30,17:30,C,Studio 2,16,30,1/14/2024,yes,class03
210,ATEEZ | CRAZY FORM,13:00,15:00,A,Studio 2,16,30,1/7/2024,yes,class03
211,xikers | KOONG,19:30,21:30,A,Studio 2,16,30,1/10/2024,yes,class03
212,BABYMONSTER | BATTER UP,13:00,14:30,C,Studio 1,12,20,1/13/2024,yes,class02
214,ITZY | BORN TO BE,15:30,17:30,C,Studio 2,16,30,1/6/2024,yes,class03
216,NCT U - THE 7TH SENSE,13:00,15:00,B,Studio 2,16,30,1/13/2024,yes,class03
219,aespa | NEXT LEVEL,13:00,15:00,B,Studio 2,16,30,1/14/2024,yes,class03
221,NCT U- BAGGY JEANS,13:00,14:30,E,Studio 1,12,20,1/27/2024,yes,class02
222,SEVENTEEN | 손오공 (SUPER),15:30,17:30,A,Studio 2,16,30,1/21/2024,yes,class03
223,BLACKPINK | AS IF IT'S YOUR LAST,13:00,14:30,C,Studio 2,12,30,1/20/2024,yes,class02
224,TAEMIN | GUILTY,19:30,21:30,E,Studio 2,16,20,1/17/2024,yes,class03
225,TWICE | FEEL SPECIAL,15:30,17:30,E,Studio 2,16,30,1/27/2024,yes,class03
226,BTS | NOT TODAY,15:30,17:30,A,Studio 2,16,30,1/28/2024,yes,class03
227,K-FIT | BTS,12:00,13:00,C,Studio 2,10,30,1/24/2024,yes,class08
228,K-FIT | BTS,18:15,19:15,C,Studio 2,10,30,1/24/2024,yes,class08
229,K-FIT | BTS,11:00,12:00,C,Studio 2,10,30,1/27/2024,yes,class08
230,ITZY | UNTOUCHABLE,15:30,17:30,C,Studio 2,16,30,1/20/2024,yes,class03
231,A CHOREO: Best time - Brent Faiyaz ,19:30,21:00,A,Studio 2,12,20,1/18/2024,yes,class07
232,A CHOREO,19:30,21:00,A,Studio 2,12,30,1/25/2024,yes,class07
233,STRAY KIDS | MEGAVERSE,13:00,15:00,D,Studio 1,16,30,1/20/2024,yes,class03
235,TWS | OH MYMY 7S,13:00,15:00,C,Studio 2,16,30,1/21/2024,yes,class03
236,RIIZE | LOVE 119,19:30,21:30,D,Studio 1,16,30,1/24/2024,yes,class03
238,G-IDLE | NXDE,13:00,15:00,E,Studio 2,16,30,1/28/2024,yes,class03
239,ITZY | MR. VAMPIRE,19:30,21:30,E,Studio 2,16,30,1/31/2024,yes,class03
240,K-FIT | TWICE,18:15,19:15,C,Studio 2,10,30,1/31/2024,yes,class08
241,K-FIT | SEVENTEEN x RIIZE,18:00,19:00,C,Studio 2,10,30,2/7/2024,yes,class08
242,K-FIT | TWICE,11:00,12:00,C,Studio 2,10,30,2/3/2024,yes,class08
243,ATEEZ | HALA HALA,13:00,15:00,B,Studio 2,16,30,1/27/2024,yes,class03
244,C CHOREO | To. X (Taeyeon),19:30,21:00,C,Studio 2,12,20,1/26/2024,yes,class07
245,BLACKPINK | Lovesick Girls,13:00,14:30,C,Studio 2,12,30,2/3/2024,yes,class02
246,BTS | BOY WITH LUV,13:00,14:30,E,Studio 1,12,30,2/11/2024,yes,class02
247,SEVENTEEN | 아낀다 (Adore U),13:00,15:00,A,Studio 2,16,30,2/11/2024,yes,class03
248,BTS | DANGER,15:30,17:30,A,Studio 2,16,30,2/11/2024,yes,class03
249,NCT U | 90's Love,13:00,15:00,B,Studio 1,16,30,2/3/2024,yes,class03
250,TWICE | HEART SHAKER,19:30,21:30,E,Studio 2,16,30,2/14/2024,yes,class03
251,BTS | Butterfly,15:30,17:30,E,Studio 2,16,30,2/3/2024,yes,class03
252,ZEROBASEONE | CRUSH,13:00,15:00,B,Studio 1,16,20,2/17/2024,yes,class03
253,SEVENTEEN | HOT,13:00,15:00,C,Studio 1,16,30,2/4/2024,yes,class03
254,G-IDLE | WIFE,15:30,17:30,E,Studio 1,16,20,2/17/2024,yes,class03
255,TWICE | WHAT IS LOVE,13:00,14:30,C,Studio 1,12,30,2/18/2024,yes,class02
256,ATEEZ | IT'S YOU,13:00,15:30,C,Studio 2,16,30,2/18/2024,yes,class03
257,MONSTA X | LOVE KILLA,15:30,17:30,A,Studio 2,16,30,2/18/2024,yes,class03
258,(G)I-DLE | SUPER LADY,15:30,17:30,C,Studio 2,16,30,2/4/2024,yes,class03
259,G-IDLE | TOMBOY,13:00,14:30,C,Studio 1,12,20,2/24/2024,yes,class02
260,DINO | Unholy,19:30,21:30,A,Studio 2,16,30,2/7/2024,yes,class03
