model,split,group,metric,value,diagnosis
XGBoost Hybrid,train,overall,recall@5,0.0487,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,ndcg@5,0.0545,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,mrr,0.1061,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,coverage_pct,11.95,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,coverage_count,27.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,novelty,0.5995,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,users_evaluated,90.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,precision@5,0.0494,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,recall@5,0.0524,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,ndcg@5,0.0542,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,mrr,0.0981,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,coverage_pct,11.95,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,coverage_count,27.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,novelty,0.6671,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,users_evaluated,77.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,guest,precision@5,0.0308,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,guest,recall@5,0.0262,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,guest,ndcg@5,0.0561,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,guest,mrr,0.1538,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,guest,coverage_pct,2.21,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,guest,coverage_count,5.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,guest,novelty,0.1985,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,guest,users_evaluated,13.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
